station,fold,horizon_steps,method,condition,ramp_direction,n,coverage,undercoverage_error,mean_width,normalized_width,mean_interval_score
CSGS2,q1_2020,4,oracle_ramp_mondrian,weather_outage,down,207,0.8985507246376812,0.0014492753623188692,47.883392333984375,0.3683337867259979,61.85409927368164
CSGS2,q1_2020,4,oracle_ramp_mondrian,weather_outage,up,266,0.8909774436090225,0.009022556390977488,48.7000617980957,0.3746158480644226,60.21691131591797
CSGS2,q1_2020,4,persistence_condition_cqr,clean,down,207,0.2946859903381642,0.6053140096618358,60.46284484863281,0.4650987982749939,200.1904754638672
CSGS2,q1_2020,4,persistence_condition_cqr,clean,up,266,0.39849624060150374,0.5015037593984963,48.176597595214844,0.3705892264842987,151.67910766601562
CSGS2,q1_2020,4,persistence_condition_cqr,combined_outage,down,207,0.8115942028985508,0.08840579710144925,109.50865936279297,0.842374324798584,148.952392578125
CSGS2,q1_2020,4,persistence_condition_cqr,combined_outage,up,266,0.8796992481203008,0.020300751879699264,73.4710693359375,0.5651620626449585,93.33882904052734
CSGS2,q1_2020,4,persistence_condition_cqr,irradiance_outage,down,207,0.2946859903381642,0.6053140096618358,60.46284484863281,0.4650987982749939,200.1904754638672
CSGS2,q1_2020,4,persistence_condition_cqr,irradiance_outage,up,266,0.39849624060150374,0.5015037593984963,48.176597595214844,0.3705892264842987,151.67910766601562
CSGS2,q1_2020,4,persistence_condition_cqr,recent_power_outage,down,207,0.8115942028985508,0.08840579710144925,109.50865936279297,0.842374324798584,148.952392578125
CSGS2,q1_2020,4,persistence_condition_cqr,recent_power_outage,up,266,0.8796992481203008,0.020300751879699264,73.4710693359375,0.5651620626449585,93.33882904052734
CSGS2,q1_2020,4,persistence_condition_cqr,weather_outage,down,207,0.2946859903381642,0.6053140096618358,60.46284484863281,0.4650987982749939,200.1904754638672
CSGS2,q1_2020,4,persistence_condition_cqr,weather_outage,up,266,0.39849624060150374,0.5015037593984963,48.176597595214844,0.3705892264842987,151.67910766601562
CSGS2,q1_2020,4,robust_condition_cqr,clean,down,207,0.6714975845410628,0.22850241545893724,29.47783851623535,0.2267526090145111,74.20423889160156
CSGS2,q1_2020,4,robust_condition_cqr,clean,up,266,0.6466165413533834,0.2533834586466166,29.450891494750977,0.2265453189611435,79.36156463623047
CSGS2,q1_2020,4,robust_condition_cqr,combined_outage,down,207,0.8019323671497585,0.09806763285024156,38.5983772277832,0.2969105839729309,62.834861755371094
CSGS2,q1_2020,4,robust_condition_cqr,combined_outage,up,266,0.5714285714285714,0.3285714285714286,33.429901123046875,0.25715309381484985,98.85108947753906
CSGS2,q1_2020,4,robust_condition_cqr,irradiance_outage,down,207,0.7342995169082126,0.16570048309178742,33.057430267333984,0.2542879283428192,64.8538818359375
CSGS2,q1_2020,4,robust_condition_cqr,irradiance_outage,up,266,0.6729323308270677,0.2270676691729323,30.739559173583984,0.23645815253257751,80.22492980957031
CSGS2,q1_2020,4,robust_condition_cqr,recent_power_outage,down,207,0.7681159420289855,0.13188405797101455,28.966764450073242,0.22282126545906067,58.054420471191406
CSGS2,q1_2020,4,robust_condition_cqr,recent_power_outage,up,266,0.7857142857142857,0.11428571428571432,37.25914764404297,0.28660881519317627,67.34303283691406
CSGS2,q1_2020,4,robust_condition_cqr,weather_outage,down,207,0.6328502415458938,0.26714975845410627,30.8635196685791,0.23741169273853302,83.63655090332031
CSGS2,q1_2020,4,robust_condition_cqr,weather_outage,up,266,0.5789473684210527,0.32105263157894737,30.102140426635742,0.23155492544174194,93.25321960449219
CSGS2,q1_2020,4,robust_local_cqr,clean,down,207,0.7294685990338164,0.17053140096618358,32.90929412841797,0.2531484067440033,65.30927276611328
CSGS2,q1_2020,4,robust_local_cqr,clean,up,266,0.793233082706767,0.10676691729323307,37.36408615112305,0.2874160408973694,66.72465515136719
CSGS2,q1_2020,4,robust_local_cqr,combined_outage,down,207,0.8164251207729468,0.0835748792270532,39.294681549072266,0.30226677656173706,58.501773834228516
CSGS2,q1_2020,4,robust_local_cqr,combined_outage,up,266,0.6541353383458647,0.24586466165413534,39.08452224731445,0.3006501793861389,81.32411193847656
CSGS2,q1_2020,4,robust_local_cqr,irradiance_outage,down,207,0.821256038647343,0.07874396135265704,36.4468994140625,0.28036075830459595,57.573883056640625
CSGS2,q1_2020,4,robust_local_cqr,irradiance_outage,up,266,0.8045112781954887,0.09548872180451129,39.55271530151367,0.30425167083740234,68.63262176513672
CSGS2,q1_2020,4,robust_local_cqr,recent_power_outage,down,207,0.8357487922705314,0.06425120772946857,32.730934143066406,0.25177642703056335,51.53908920288086
CSGS2,q1_2020,4,robust_local_cqr,recent_power_outage,up,266,0.8721804511278195,0.027819548872180522,44.71672439575195,0.3439747989177704,61.59385681152344
CSGS2,q1_2020,4,robust_local_cqr,weather_outage,down,207,0.7053140096618358,0.19468599033816425,33.73508834838867,0.2595006823539734,74.84878540039062
CSGS2,q1_2020,4,robust_local_cqr,weather_outage,up,266,0.7481203007518797,0.15187969924812028,38.904335021972656,0.2992641031742096,70.79915618896484
CSGS2,q1_2020,4,robust_risk_mondrian,clean,down,207,0.7971014492753623,0.10289855072463772,35.639305114746094,0.27414849400520325,64.0450439453125
