fold,horizon_steps,method,condition,ramp_direction,n,coverage,undercoverage_error,mean_width,mean_interval_score
q1_2020,4,robust_rolling_cqr,weather_outage,up,611,0.7823240589198036,0.11767594108019641,11.322020530700684,20.618446350097656
q2_2020,1,clean_condition_cqr,clean,down,182,0.31868131868131866,0.5813186813186814,9.044411659240723,60.65083694458008
q2_2020,1,clean_condition_cqr,clean,up,154,0.24675324675324675,0.6532467532467533,10.30196475982666,52.130977630615234
q2_2020,1,clean_condition_cqr,combined_outage,down,182,1.0,0.0,35.55509948730469,35.55509948730469
q2_2020,1,clean_condition_cqr,combined_outage,up,154,0.922077922077922,0.0,36.91787338256836,41.92205810546875
q2_2020,1,clean_condition_cqr,irradiance_outage,down,182,0.7747252747252747,0.12527472527472527,14.450207710266113,27.192672729492188
q2_2020,1,clean_condition_cqr,irradiance_outage,up,154,0.16883116883116883,0.7311688311688311,11.860143661499023,70.52826690673828
q2_2020,1,clean_condition_cqr,recent_power_outage,down,182,1.0,0.0,38.18755340576172,38.18755340576172
q2_2020,1,clean_condition_cqr,recent_power_outage,up,154,0.935064935064935,0.0,38.73259353637695,42.46502685546875
q2_2020,1,clean_condition_cqr,weather_outage,down,182,0.33516483516483514,0.5648351648351648,8.93360424041748,61.14438247680664
q2_2020,1,clean_condition_cqr,weather_outage,up,154,0.23376623376623376,0.6662337662337663,10.353094100952148,54.41416549682617
q2_2020,1,lgbm_condition_cqr,clean,down,182,0.4230769230769231,0.47692307692307695,10.309123039245605,47.42607116699219
q2_2020,1,lgbm_condition_cqr,clean,up,154,0.4675324675324675,0.4324675324675325,12.342830657958984,42.57123947143555
q2_2020,1,lgbm_condition_cqr,combined_outage,down,182,1.0,0.0,35.69548797607422,35.69548797607422
q2_2020,1,lgbm_condition_cqr,combined_outage,up,154,0.9025974025974026,0.0,36.77668380737305,41.52088165283203
q2_2020,1,lgbm_condition_cqr,irradiance_outage,down,182,0.7692307692307693,0.13076923076923075,13.292214393615723,26.0627498626709
q2_2020,1,lgbm_condition_cqr,irradiance_outage,up,154,0.2987012987012987,0.6012987012987013,13.754387855529785,58.497806549072266
q2_2020,1,lgbm_condition_cqr,recent_power_outage,down,182,1.0,0.0,34.795650482177734,34.795650482177734
q2_2020,1,lgbm_condition_cqr,recent_power_outage,up,154,0.948051948051948,0.0,35.9677619934082,38.31912612915039
q2_2020,1,lgbm_condition_cqr,weather_outage,down,182,0.4340659340659341,0.46593406593406594,10.321125030517578,47.2545166015625
q2_2020,1,lgbm_condition_cqr,weather_outage,up,154,0.4675324675324675,0.4324675324675325,12.372884750366211,42.97669219970703
q2_2020,1,oracle_ramp_mondrian,clean,down,182,0.8681318681318682,0.031868131868131866,20.307952880859375,30.01806640625
q2_2020,1,oracle_ramp_mondrian,clean,up,154,0.9415584415584416,0.0,22.538238525390625,24.16200828552246
q2_2020,1,oracle_ramp_mondrian,combined_outage,down,182,0.8571428571428571,0.04285714285714293,22.995643615722656,29.24984359741211
q2_2020,1,oracle_ramp_mondrian,combined_outage,up,154,0.9415584415584416,0.0,23.231464385986328,27.045452117919922
q2_2020,1,oracle_ramp_mondrian,irradiance_outage,down,182,0.8791208791208791,0.020879120879120916,20.9104061126709,30.723697662353516
q2_2020,1,oracle_ramp_mondrian,irradiance_outage,up,154,0.9090909090909091,0.0,22.165042877197266,24.922292709350586
q2_2020,1,oracle_ramp_mondrian,recent_power_outage,down,182,0.8241758241758241,0.07582417582417589,20.015588760375977,30.633358001708984
q2_2020,1,oracle_ramp_mondrian,recent_power_outage,up,154,0.961038961038961,0.0,20.75896453857422,21.606807708740234
q2_2020,1,oracle_ramp_mondrian,weather_outage,down,182,0.8681318681318682,0.031868131868131866,20.318803787231445,29.45060920715332
q2_2020,1,oracle_ramp_mondrian,weather_outage,up,154,0.948051948051948,0.0,22.64129638671875,24.39771842956543
q2_2020,1,persistence_condition_cqr,clean,down,182,0.0,0.9,7.281867027282715,107.41876983642578
q2_2020,1,persistence_condition_cqr,clean,up,154,0.0,0.9,7.268346786499023,97.59831237792969
