horizon_steps,threshold_fraction,method,condition,ramp_group,n,coverage,undercoverage_error,mean_width
4,0.15,robust_condition_cqr,recent_power_outage,ramp,6719,0.8745349010269385,0.025465098973061484,12.502232551574707
4,0.15,robust_condition_cqr,weather_outage,non_ramp,16705,0.92223885064352,0.0,7.775928020477295
4,0.15,robust_condition_cqr,weather_outage,ramp,6719,0.8456615567792827,0.05433844322071735,10.965096473693848
4,0.15,robust_local_cqr,clean,non_ramp,16705,0.9447470817120622,0.0,8.874862670898438
4,0.15,robust_local_cqr,clean,ramp,6719,0.895073671677333,0.00492632832266704,12.53977108001709
4,0.15,robust_local_cqr,combined_outage,non_ramp,16705,0.9247530679437295,0.0,10.289937019348145
4,0.15,robust_local_cqr,combined_outage,ramp,6719,0.9044500669742521,0.0,15.11133098602295
4,0.15,robust_local_cqr,irradiance_outage,non_ramp,16705,0.945824603412152,0.0,9.432270050048828
4,0.15,robust_local_cqr,irradiance_outage,ramp,6719,0.9045988986456318,0.0,13.541972160339355
4,0.15,robust_local_cqr,recent_power_outage,non_ramp,16705,0.9316372343609698,0.0,10.198373794555664
4,0.15,robust_local_cqr,recent_power_outage,ramp,6719,0.9127846405715137,0.0,14.7911958694458
4,0.15,robust_local_cqr,weather_outage,non_ramp,16705,0.9488775815624064,0.0,9.088902473449707
4,0.15,robust_local_cqr,weather_outage,ramp,6719,0.8958178300342313,0.004182169965768701,13.097636222839355
4,0.15,robust_risk_mondrian,clean,non_ramp,16705,0.935588147261299,0.0,8.209185600280762
4,0.15,robust_risk_mondrian,clean,ramp,6719,0.8910552165500819,0.008944783449918114,12.376343727111816
4,0.15,robust_risk_mondrian,combined_outage,non_ramp,16705,0.9207422927267285,0.0,9.789741516113281
4,0.15,robust_risk_mondrian,combined_outage,ramp,6719,0.8894180681649055,0.010581931835094482,14.960808753967285
4,0.15,robust_risk_mondrian,irradiance_outage,non_ramp,16705,0.9378629152948219,0.0,8.640334129333496
4,0.15,robust_risk_mondrian,irradiance_outage,ramp,6719,0.8998362851614824,0.0001637148385176257,13.588440895080566
4,0.15,robust_risk_mondrian,recent_power_outage,non_ramp,16705,0.9240347201436696,0.0,9.24141788482666
4,0.15,robust_risk_mondrian,recent_power_outage,ramp,6719,0.8937341866349159,0.0062658133650841386,13.768978118896484
4,0.15,robust_risk_mondrian,weather_outage,non_ramp,16705,0.93888057467824,0.0,8.35785961151123
4,0.15,robust_risk_mondrian,weather_outage,ramp,6719,0.8892692364935258,0.010730763506474172,12.799165725708008
4,0.15,robust_rolling_cqr,clean,non_ramp,16705,0.9304399880275367,0.0,7.926051139831543
4,0.15,robust_rolling_cqr,clean,ramp,6719,0.8489358535496354,0.05106414645036461,10.707037925720215
4,0.15,robust_rolling_cqr,combined_outage,non_ramp,16705,0.9141574378928464,0.0,9.863439559936523
4,0.15,robust_rolling_cqr,combined_outage,ramp,6719,0.8590564072034529,0.040943592796547135,13.520345687866211
4,0.15,robust_rolling_cqr,irradiance_outage,non_ramp,16705,0.9300209518108351,0.0,8.41374683380127
4,0.15,robust_rolling_cqr,irradiance_outage,ramp,6719,0.8575680904896562,0.04243190951034381,11.623181343078613
4,0.15,robust_rolling_cqr,recent_power_outage,non_ramp,16705,0.9212810535767734,0.0,9.466323852539062
4,0.15,robust_rolling_cqr,recent_power_outage,ramp,6719,0.868432802500372,0.031567197499628,12.893774032592773
4,0.15,robust_rolling_cqr,weather_outage,non_ramp,16705,0.9328344806944029,0.0,8.057891845703125
4,0.15,robust_rolling_cqr,weather_outage,ramp,6719,0.8444709034082453,0.055529096591754756,11.149862289428711
4,0.2,robust_condition_cqr,clean,non_ramp,19171,0.9193573626832194,0.0,7.991384506225586
4,0.2,robust_condition_cqr,clean,ramp,4253,0.8144838937220785,0.0855161062779215,10.339886665344238
4,0.2,robust_condition_cqr,combined_outage,non_ramp,19171,0.9198268217620365,0.0,10.330507278442383
4,0.2,robust_condition_cqr,combined_outage,ramp,4253,0.857747472372443,0.042252527627557046,13.816202163696289
4,0.2,robust_condition_cqr,irradiance_outage,non_ramp,19171,0.9227479004746753,0.0,8.653477668762207
4,0.2,robust_condition_cqr,irradiance_outage,ramp,4253,0.8410533740888785,0.05894662591112154,11.721470832824707
4,0.2,robust_condition_cqr,recent_power_outage,non_ramp,19171,0.9124198007407021,0.0,9.442118644714355
4,0.2,robust_condition_cqr,recent_power_outage,ramp,4253,0.8497531154479191,0.05024688455208093,12.314008712768555
4,0.2,robust_condition_cqr,weather_outage,non_ramp,19171,0.9203484429607219,0.0,8.19296932220459
4,0.2,robust_condition_cqr,weather_outage,ramp,4253,0.8097813308252998,0.09021866917470023,10.9343900680542
4,0.2,robust_local_cqr,clean,non_ramp,19171,0.9427259923843305,0.0,9.400869369506836
4,0.2,robust_local_cqr,clean,ramp,4253,0.8753820832353633,0.02461791676463676,12.293731689453125
4,0.2,robust_local_cqr,combined_outage,non_ramp,19171,0.9246778989098117,0.0,10.932389259338379
4,0.2,robust_local_cqr,combined_outage,ramp,4253,0.8930166940982835,0.0069833059017164745,15.010958671569824
4,0.2,robust_local_cqr,irradiance_outage,non_ramp,19171,0.9444995044598612,0.0,9.969780921936035
4,0.2,robust_local_cqr,irradiance_outage,ramp,4253,0.8866682341876323,0.013331765812367724,13.501977920532227
4,0.2,robust_local_cqr,recent_power_outage,non_ramp,19171,0.9315111366125919,0.0,10.836448669433594
4,0.2,robust_local_cqr,recent_power_outage,ramp,4253,0.902421819891841,0.0,14.578019142150879
4,0.2,robust_local_cqr,weather_outage,non_ramp,19171,0.9464295028949976,0.0,9.633244514465332
